210,80000,26000,0.72,22.6
200,95000,22000,0.72,22.9
190,105000,20000,0.72,23
180,115000,17000,0.71,23
170,125000,14000,0.7,23.2
160,135000,11000,0.68,23.4
150,145000,8000,0.67,23.4
140,155000,6000,0.66,23.5
130,160000,4000,0.64,23.7
120,165000,2000,0.62,23.8
110,175000,0,0.6,23.8
100,180000,0,0.57,24
90,185000,0,0.55,24.1
80,190000,0,0.52,24.1
70,195000,0,0.49,24.1
60,200000,0,0.47,24.1
50,205000,0,0.44,24.2
40,207000,0,0.41,24.3
30,210000,0,0.38,24.4
20,215000,0,0.36,24.5
10,217000,0,0.34,24.5
0,225000,0,0.33,24.7
